,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
10,111,320,800,4,25,13,812,649600,7145600,1480440,952,5.697506157635468,2.279002463054187,0.0006430520656021183,4.826673151225312,79.28179579041648,21.190179761465163,8.719488554181643,0.00760294806465012,714.1948247000046,29.375007672457627,3.3982053272237946,0.0011547799445972176,27.468864107446294,33.402235667562906,4,5,3,7
11,112,320,800,4,25,13,812,649600,7145600,1331000,952,5.1223830049261085,2.0489532019704435,0.000715251690458302,5.3685950413223145,81.3731527093596,25.757977538126152,5.153486267204143,0.0026558420706262616,724.0005898000354,32.50033853856658,2.37128128152965,0.0005622974916132899,31.02283421944152,33.61900972823044,6,6,2,4
12,113,320,800,4,25,13,812,649600,7145600,1563928,952,6.01881157635468,2.407524630541872,0.0006087236752587076,4.569008291941828,78.11341244961935,22.871713413930426,7.184794142278636,0.005162126686692075,717.2303329999759,30.4059791497566,3.017873576323973,0.0009107560922674445,27.751434065885306,33.80925287135285,4,5,4,5
13,114,320,800,4,25,13,812,649600,7145600,1484344,952,5.7125307881773395,2.285012315270936,0.0006413607627342449,4.813978430875862,79.22716077026422,20.493339080655133,9.44785122780084,0.008926189282265575,712.7653055999908,31.390869667176926,2.6943655478279136,0.0007259605705322012,29.742061251024634,32.866966904545144,4,5,3,6
14,115,320,800,4,25,13,812,649600,7145600,1306168,952,5.0268165024630544,2.0107266009852216,0.0007288495813708497,5.470659210760025,81.72066726377071,23.442999509370797,6.72744296518278,0.004525848884978637,718.8869304000018,29.386612765915906,3.393668065237093,0.0011516982937010076,28.48490456375373,32.6650982236743,5,6,3,5
15,116,320,800,4,25,13,812,649600,7145600,1479416,952,5.69356527093596,2.2774261083743843,0.0006434971637456942,4.830014005526505,79.2961262875056,25.107474538640037,5.5542608626961,0.003084981373087881,719.1822589000094,33.95619920314901,2.0053493419999056,0.00040214259834594535,32.379177000013996,34.89696778044718,6,6,3,8
16,117,320,800,4,25,13,812,649600,7145600,1339576,952,5.155387931034483,2.062155172413793,0.0007106726307428619,5.334225157811129,81.25313479623824,26.497297599409293,4.7329849122264855,0.0022401146179363636,754.7379844000061,32.888766257048324,2.2675751404325406,0.0005141897017507655,31.37331410966131,34.439053603269556,6,6,2,4
17,118,320,800,4,25,13,812,649600,7145600,1388344,952,5.343072660098522,2.137229064039409,0.0006857090173616914,5.1468512126677535,80.57064487236902,24.237096880291006,6.139671795861197,0.0037695569760893516,754.6459122000306,33.43970160649255,2.1282121569487256,0.0004529286984984346,32.531075468278274,34.09406023663047,6,6,3,4
18,119,320,800,4,25,13,812,649600,7145600,1397816,952,5.379525862068966,2.1518103448275863,0.0006810624574335964,5.111974680501582,80.43808777429467,25.885017526635576,5.0786598186164955,0.0025792785553230414,749.1493759999794,33.41639435400964,2.1339305566104945,0.00045536596204359746,32.48172911709523,34.31128543102792,6,6,3,4
19,121,320,800,4,25,13,812,649600,7145600,1375896,952,5.295166256157636,2.118066502463054,0.0006919127608482036,5.19341578142534,80.7448499776086,26.989611158054707,4.472181719937999,0.0020000409336147712,754.4764760000126,32.40442194231324,2.3976119961693647,0.0005748543284175247,31.296748493495937,33.929605649310844,6,6,2,6
20,122,320,800,4,25,13,812,649600,7145600,1346648,952,5.182604679802956,2.0730418719211823,0.000706940492244447,5.306212165317143,81.15416480071653,25.647047673766682,5.219724920803652,0.002724552824885851,737.0374037000165,33.219546813739804,2.1828437987391895,0.0004764807049694136,31.089284835745598,33.873085241720624,6,6,2,3
21,123,320,800,4,25,13,812,649600,7145600,1311416,952,5.04701354679803,2.0188054187192117,0.0007259328847596796,5.44876682913736,81.64722346618899,25.308383549343354,5.427262436973766,0.002945517755978526,727.6905319999914,32.03351811467412,2.502211952379268,0.0006261064654629668,30.754845572509197,33.32303247788469,6,6,2,5
22,124,320,800,4,25,13,812,649600,7145600,1418840,952,5.460437192118227,2.184174876847291,0.0006709706520819825,5.036226776803586,80.14386475593372,26.821434407514868,4.559616111988507,0.0020790099088705523,739.0139763000443,33.104834201968885,2.2118633365835105,0.0004892339419722341,31.805646597343465,34.911760999672396,6,6,3,4
23,200,320,800,4,25,13,812,649600,7145600,1614264,952,6.2125307881773395,2.485012315270936,0.0005897424460930802,4.426537418910414,77.4089789520824,20.36893712901262,9.584139878974865,0.009185573721975858,727.3587836999213,31.026053277422914,2.809941873196306,0.0007895773330741966,29.28820539752635,32.83777345878446,4,4,4,7
