,record,mr,m,n,d,q,b,w,s,u_bits,c_bits,bpm,bps,cr,pss,overhead,snr,prd,nmse,qs,rtime
29,100,0.35,179,512,4,5,32,1269,649728,7147008,1161272,5.112334966608115,1.787320232466509,6.154465103782749,83.75163425030446,0.004512293416185011,21.332855211761313,8.577431124302715,0.007357232469215282,71.75184521558096,324.3037212999943
30,100,0.35,179,512,4,6,32,1269,649728,7147008,941112,4.143111850707239,1.4484707446808511,7.594216203809961,86.83208413926499,0.005567881399875891,19.790860932446673,10.243702412253532,0.010493343911080415,74.13546292330544,320.7977428999948
31,100,0.35,179,512,4,7,32,1269,649728,7147008,734072,3.2316476704923156,1.1298143223010244,9.736113078826055,89.72896070635433,0.00713826436643817,16.411957412484433,15.11479040952754,0.0228456889123943,64.41447625161206,290.2159595999983
32,100,0.4,205,512,4,0,32,1269,649728,7147008,2602264,10.003129024198044,4.005159081954295,2.7464576999105392,63.589462891324594,0.002013631207287193,23.56543171265517,6.633281290721224,0.004400042068183276,41.40420976496719,333.7769611000058
33,100,0.4,205,512,4,1,32,1269,649728,7147008,2343192,9.007253647004555,3.6064199172576834,3.050116251677199,67.21436438856652,0.0022362657434815414,23.558635661605095,6.638473362074963,0.004406932857897938,45.946049420070814,340.09315410001363
34,100,0.4,205,512,4,2,32,1269,649728,7147008,2084440,8.012608353033885,3.2081732663514577,3.4287424919882556,70.83478848771402,0.002513864635105832,23.56348866990601,6.634765328784464,0.004402011096803954,51.67842903369765,370.21896799994283
35,100,0.4,205,512,4,3,32,1269,649728,7147008,1825880,7.018701108996906,2.810222123719464,3.914281332836769,74.45252614800488,0.0028698490590838392,23.53596970958464,6.6558191745561714,0.004429992888438975,58.80991099938926,411.1533038999969
36,100,0.4,205,512,4,4,32,1269,649728,7147008,1567864,6.026885006438717,2.4131082545311267,4.558436190894108,78.06265223153521,0.003342126613022558,23.35487832066877,6.796042466198106,0.004618619320236761,67.07486325411712,422.53816830002506
37,100,0.4,205,512,4,5,32,1269,649728,7147008,1310424,5.037283053681601,2.0168809101654848,5.453966044577938,81.66471899849559,0.003998705762409724,22.48302110947941,7.513615114438128,0.005645441208791203,72.58777514565023,364.9567709999519
38,100,0.4,205,512,4,6,32,1269,649728,7147008,1056152,4.059858924830383,1.625529452324665,6.767025958384778,85.22245952432122,0.0049614070701944415,20.151304949909207,9.82731218423909,0.009657606476649523,68.8593771269182,357.30508409999675
39,100,0.4,205,512,4,7,32,1269,649728,7147008,811192,3.1182302177631707,1.248510145784082,8.810501089754338,88.64990776559925,0.006459629779386384,16.147874477462025,15.581392801738744,0.02427798016420741,56.54501623738774,444.1697824000148
40,100,0.45,230,512,4,0,32,1269,649728,7147008,2872248,9.84084695241032,4.420692966903073,2.488297667889402,59.81188211906297,0.0018243549999860736,24.98419861264512,5.633652687225524,0.0031738042600283436,44.168460606946745,494.0009690000061
41,100,0.45,230,512,4,1,32,1269,649728,7147008,2581592,8.845006338438345,3.973342691095351,2.7684498557479262,63.878702808224084,0.0020297552827867457,24.976233816210776,5.638821009398328,0.003179630237603151,49.09625347450645,435.39904840001145
42,100,0.45,230,512,4,2,32,1269,649728,7147008,2291352,7.850591016548464,3.52663268321513,3.1191226839001605,67.93970287986245,0.0022868594611391005,24.96388623754879,5.646842674560435,0.003188683219123762,55.23657845032775,466.1646736000166
43,100,0.45,230,512,4,3,32,1269,649728,7147008,2000568,6.8543118511666155,3.079085401891253,3.572489413006706,72.00831452826134,0.0026192561312587226,24.807366991925377,5.749520812534927,0.003305698957377164,62.13542883814031,431.33749550000357
44,100,0.45,230,512,4,4,32,1269,649728,7147008,1711160,5.862747113440915,2.6336559298660362,4.176703522756493,76.05767336485421,0.0030622501694756773,24.45585478880037,5.986972462191899,0.0035843839263044607,69.76319916506438,410.1698071000428
45,100,0.45,230,512,4,5,32,1269,649728,7147008,1423608,4.877541371158393,2.191083037825059,5.020348298127012,80.08106329249946,0.0036807885316744496,23.278989474288842,6.855679815270276,0.004700034572950293,73.22903684831863,419.0416938999879
46,100,0.45,230,512,4,6,32,1269,649728,7147008,1141336,3.910425874533183,1.7566366233254531,6.2619666776479495,84.03057615158679,0.004591110768432784,20.450054813029354,9.495050072529304,0.009015597587983901,65.94980152621648,461.15557320003063
47,100,0.45,230,512,4,7,32,1269,649728,7147008,857464,2.9378284852845447,1.3197276398739164,8.33505313342601,88.00247600114622,0.0061110437289495535,16.137362683564998,15.600261051988943,0.02433681448902018,53.42893369315342,463.3551363000188
48,100,0.5,256,512,4,0,32,1269,649728,7147008,3163032,9.7364804964539,4.86824024822695,2.259543374837814,55.743270470664086,0.0016566383141239165,26.12409571130329,4.940776565544696,0.0024411273070634493,45.73255529495312,478.36201150003217
49,100,0.5,256,512,4,1,32,1269,649728,7147008,2839064,8.739238573680064,4.369619286840032,2.517381784982656,60.27618830145426,0.0018456787166474585,26.065934826328952,4.973971112603526,0.002474038862901423,50.61110585471379,441.6590176000245
50,100,0.5,256,512,4,2,32,1269,649728,7147008,2515672,7.743769700551615,3.8718848502758076,2.840993579449149,64.80104681567448,0.0020829424503671385,25.998035301866683,5.013006121108166,0.0025130230370267407,56.672453829382604,448.692225599998
51,100,0.5,256,512,4,3,32,1269,649728,7147008,2192792,6.749876871552403,3.3749384357762016,3.2593187133116137,69.31874149294362,0.002389647536109216,25.89309224236613,5.073940707466918,0.002574487430288847,64.23643675053458,457.6472941998836
