,record,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime,y_min,y_max,y_range,y_iqr,y_mean,y_std,y_median,y_mad,y_skew,y_kurtosis,y_jbera,y_jb_pval,y_kld
10,111,200,512,4,6,32,1269,649728,-6,6,7147008,1130016,4.4523877068557915,1.7392139479905437,6.324696287486195,84.18896410917688,12.72098035554708,23.11803847690012,0.05344437030194256,348.3829550999849,-8427.0,4489.0,12916.0,381.0,-335.5243814026793,375.49045871649474,-316.5,257.61041073390487,-0.7572639669175777,22.22544927708107,3932966.1721714307,0.0,0.18617551970440507
11,112,200,512,4,6,32,1269,649728,-27,10,7147008,1325632,5.223136327817179,2.0402876280535853,5.391396707381838,81.45193065405832,25.40775977848334,5.365522384846025,0.002878883046228333,354.0234137999869,-7745.0,251.0,7996.0,776.0,-1684.241607565012,578.89097209953,-1672.0,459.1047705998068,-0.28632638737577215,3.744447224938824,9328.555112408703,0.0,0.030962375666810656
12,113,200,512,4,6,32,1269,649728,-5,7,7147008,1189792,4.6879117415287626,1.831215524034673,6.006939027998171,83.35258614513934,18.976475310050343,11.25061425566596,0.01265763211297884,341.90067139998155,-3049.0,2909.0,5958.0,463.0,-317.83434200157603,401.59515641033545,-316.0,300.82969925836187,0.02299412555055941,4.882907141283942,37514.32839698808,0.0,0.05316930439321028
13,114,200,512,4,6,32,1269,649728,-5,5,7147008,1030176,4.0590070921985815,1.5855496453900708,6.937657254682695,85.58591231463572,13.175155888517839,21.9402820142352,0.04813759748641786,340.68211820000124,-3099.0,5598.0,8697.0,290.0,-318.3878014184397,264.8761555508498,-300.0,185.5554809450097,1.4763843926370832,30.74735601222214,8234060.991954663,0.0,0.11211740736164139
14,115,200,512,4,6,32,1269,649728,-16,9,7147008,1285536,5.0651536643026,1.9785756501182032,5.559554924949593,82.01294863528906,20.163050843896507,9.814031730661613,0.009631521881043178,340.6362112999914,-7636.0,2156.0,9792.0,662.0,-999.4168163908589,532.9321299267798,-973.0,406.3501889836709,-0.5943615762748594,6.420471151822505,138666.65057804532,0.0,0.06772272701420237
15,116,200,512,4,6,32,1269,649728,-30,16,7147008,1474528,5.809802994483846,2.2694542947202523,4.846980186201957,79.36859732072499,15.026714278841501,17.728185447659584,0.031428855926661434,344.7236829000258,-19387.0,14651.0,34038.0,1042.0,-1917.5531914893618,1011.2933391580993,-1898.0,679.2001834245989,0.040076363338158144,26.118993386427096,5652277.007417755,0.0,0.23073314133630912
16,117,200,512,4,6,32,1269,649728,-28,10,7147008,1336672,5.266635145784082,2.057279353821907,5.346867443920424,81.29746041980084,25.359331008507663,5.395521774889195,0.0029111655223303208,338.8936935999782,-8573.0,577.0,9150.0,809.0,-1744.6675492513791,602.6998816080074,-1724.0,478.44877003804385,-0.37585113858662156,3.985378923180348,16243.495420614427,0.0,0.03684368376447682
17,118,200,512,4,6,32,1269,649728,-28,11,7147008,1373120,5.410244286840031,2.1133766745468874,5.204940573292939,80.78748477684648,22.649729121291465,7.370781615460893,0.0054328421622817325,352.24055950000275,-6239.0,4542.0,10781.0,893.0,-1757.5117100078803,670.9759861832283,-1726.0,528.5426201151085,-0.19767872488594132,4.308596451146137,19761.84285682328,0.0,0.045608741692413995
18,119,200,512,4,6,32,1269,649728,-28,11,7147008,1383712,5.451977935382191,2.1296788810086684,5.16509793945561,80.6392828999212,24.660434930142674,5.8476080257660925,0.0034194519623004216,344.4782994999796,-7160.0,2327.0,9487.0,923.0,-1763.9117730496455,685.6371144343162,-1739.0,544.7578130119132,-0.30001432789856713,3.347384853920438,5083.514854204246,0.0,0.029189892455731826
19,121,200,512,4,6,32,1269,649728,-26,12,7147008,1383808,5.4523561859732075,2.129826635145784,5.164739617056702,80.63793968049288,20.070933011141946,9.91866790283244,0.00983799729666792,340.12047410000196,-16317.0,1624.0,17941.0,849.0,-1658.2500551615444,719.1092147159328,-1628.0,529.6080990802215,-1.230640857597145,14.514969504978557,1466249.4512910869,0.0,0.1280970107691043
20,122,200,512,4,6,32,1269,649728,-27,10,7147008,1332992,5.252135539795114,2.0516154452324664,5.361628576915691,81.34895049788666,25.253253852761045,5.46181904359747,0.002983146726500396,365.1481322000218,-7122.0,301.0,7423.0,809.0,-1727.6528605200945,590.1115490549728,-1715.0,473.2277932982925,-0.21906274972888423,3.1791933738695644,2369.4791107842443,0.0,0.026010501573831734
