,record,mr,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime
32,100,0.3,154,512,6,5,32,1269,649728,-39,12,7147008,1080896,5.530973360760595,1.6636130811662726,6.61211439398425,84.87624471667024,19.311266240079288,10.825218922004415,0.011718536470932064,249.33096699997805
33,100,0.3,154,512,6,6,32,1269,649728,-20,6,7147008,886816,4.53786087828641,1.3649034672970843,8.059178003103236,87.5917866609356,18.695881408035177,11.61999469010288,0.013502427659802146,250.64412609999727
34,100,0.3,154,512,6,7,32,1269,649728,-10,3,7147008,692000,3.54098226438652,1.065061071710008,10.328046242774567,90.3176266208181,16.94543544701156,14.214390021225896,0.02020488836755224,263.3492651999859
35,100,0.3,154,512,6,8,32,1269,649728,-5,2,7147008,530624,2.7152170130893536,0.8166863672182821,13.469062839223254,92.5755784798338,13.662109435140561,20.744096699238728,0.043031754786736306,255.28416799998922
36,100,0.4,205,512,6,0,32,1269,649728,-918,323,7147008,2691552,10.346352995444848,4.142582742316785,2.65534828975996,62.34015688802923,23.473209596789328,6.704085125879115,0.004494475737503361,360.9879525999995
37,100,0.4,205,512,6,1,32,1269,649728,-459,162,7147008,2432640,9.351092659862768,3.7440898345153664,2.937963693764799,65.96281968622394,23.486861569930014,6.6935563135727225,0.004480369612296907,359.160864099983
38,100,0.4,205,512,6,2,32,1269,649728,-230,81,7147008,2173536,8.355094274347,3.3453014184397163,3.288193984364648,69.5881689232753,23.478979583357045,6.6996331195440035,0.00448850839364907,361.24107649999587
39,100,0.4,205,512,6,3,32,1269,649728,-115,41,7147008,1914944,7.361064021987738,2.947301024428684,3.7322282009291134,73.2063543233756,23.50536790879418,6.67931006399672,0.0044613182931008185,363.1019334000266
40,100,0.4,205,512,6,4,32,1269,649728,-58,21,7147008,1657088,6.369862961040958,2.55043341213554,4.312992430094238,76.81424170785873,23.48006568140453,6.69879543867976,0.004487386032927642,359.8526827999758
41,100,0.4,205,512,6,5,32,1269,649728,-29,11,7147008,1400672,5.384197274596859,2.1557821118991334,5.102556487171872,80.40198080091697,23.050226654202717,7.0386386070059315,0.004954243344003398,360.9923479000281
42,100,0.4,205,512,6,6,32,1269,649728,-15,6,7147008,1149920,4.42030406119664,1.7698483057525611,6.215221928481982,83.91046994770399,21.48808736805216,8.425499004089975,0.007098903346792077,358.4860607999999
43,100,0.4,205,512,6,7,32,1269,649728,-8,3,7147008,893792,3.435745449653078,1.375640267927502,7.996276538613011,87.49417938247726,18.106041929293397,12.436492249203003,0.015466633946448618,358.6074994000428
44,100,0.4,205,512,6,8,32,1269,649728,-4,2,7147008,686336,2.6382824963001403,1.0563435776201733,10.413278627377844,90.39687656708934,13.736834191741218,20.566400576919392,0.04229768326903119,360.40103300003284
