,record,reference,m,n,d,u_bits,c_bits,cr,pms,pss,snr,prd,rtime
24,102,63,100,256,4,7149824,1745048,4.097207641279781,61,75.59313348132765,20.14354487244347,9.836095945404336,2.914620974101127
25,102,63,103,256,4,7149824,1779992,4.016773109092625,60,75.10439417809445,20.89493267437202,9.020972653398012,2.818640914745629
26,102,63,105,256,4,7149824,1807960,3.954636164516914,59,74.7132237101221,20.814085739335567,9.105330475831211,2.854665129911155
27,102,63,108,256,4,7149824,1832600,3.9014645858343338,58,74.36859984245766,20.910145546544776,9.005186729342968,2.86647895211354
28,102,63,111,256,4,7149824,1894872,3.7732490637890055,57,73.49764134054209,19.845366450310735,10.179622605802308,2.8899671081453557
29,102,63,113,256,4,7149824,1942008,3.681665575013079,56,72.83838035733467,21.76904094390338,8.157328516406178,2.8792891851626328
30,107,81,47,256,4,7149824,970296,7.368703983114431,82,86.42909252031939,19.473767890953972,10.624575950589229,1.5556122539564967
31,107,81,49,256,4,7149824,1017496,7.026881678158931,81,85.76893641018296,15.743425226639973,16.324080909586613,1.729205948766321
32,107,81,52,256,4,7149824,1084760,6.59115749105793,80,84.82815800780551,19.7955799848159,10.238138510248005,1.5736304419115186
33,107,81,54,256,4,7149824,1123448,6.364178849399349,79,84.2870537792259,20.851651867951684,9.066035318458553,1.589068664237857
34,107,81,57,256,4,7149824,1192056,5.997892716449563,78,83.32747771133947,21.564220491093668,8.351970956858793,2.8868840420618658
35,109,87,31,256,4,7149824,580824,12.309794361114555,88,91.87638744673995,19.362038561637664,10.762125989542112,1.5835793670266867
36,109,87,34,256,4,7149824,634040,11.276613462873005,87,91.13208940527767,13.175313673538552,21.939883457892314,1.5682822987437248
37,109,87,36,256,4,7149824,670072,10.670232452631955,86,90.62813294425149,14.994944665802718,17.793146998828917,1.570105319377035
38,109,87,39,256,4,7149824,723224,9.88604360474763,85,89.88473002971821,20.489755787439286,9.451749666160469,1.5698969201184814
39,109,87,41,256,4,7149824,757048,9.444346989887034,84,89.41165544774249,21.219803949801783,8.689800429118623,1.5682771690189836
40,111,80,49,256,4,7149824,952152,7.509120392542367,81,86.68286100469047,17.70917831663953,13.017904588622486,1.7089637843891978
41,111,80,52,256,4,7149824,1017944,7.023789127889157,80,85.76267052167998,20.496625825925697,9.44427683217768,1.567979071289301
42,111,80,54,256,4,7149824,1056792,6.7655924723124325,79,85.21932847577787,20.814935732800887,9.10443947985383,1.6070657442323866
43,111,80,57,256,4,7149824,1115768,6.407984455549899,78,84.39446901070572,21.37690945182727,8.534037117171051,1.7350745559670033
44,115,91,21,256,4,7149824,361368,19.78543755949614,92,94.94577768627592,18.23996992665744,12.246204392874011,2.880516668781638
45,115,91,24,256,4,7149824,410168,17.43145247800901,91,94.26324340291454,19.88106134552931,10.137875015270133,2.8310769055970013
46,115,91,26,256,4,7149824,439480,16.26882679530354,90,93.85327526943321,17.341828223885827,13.580275760702424,2.8618896189145744
47,115,91,29,256,4,7149824,500856,14.275208842461705,89,92.99484854452362,18.938676523880748,11.299680757176219,1.5619213697500522
48,115,91,31,256,4,7149824,552376,12.943762944081568,88,92.2742713666798,22.35526854671037,7.62494249412847,1.5537588018923993
49,117,93,16,256,4,7149824,270200,26.461228719467062,94,96.22088599663432,15.734502111146208,16.340859444767815,2.963455316610634
50,117,93,18,256,4,7149824,294936,24.241950796104916,93,95.87491943857638,20.8159610114749,9.103364859161788,2.870639807078988
51,117,93,21,256,4,7149824,339832,21.039290002118694,92,95.24698789788393,21.203552400005087,8.706074516013205,1.5904907230287795
52,118,87,31,256,4,7149824,503864,14.189987774478828,88,92.95277757886068,18.969584798663178,11.259542902733543,1.5650214268825946
53,118,87,34,256,4,7149824,549944,13.001003738562472,87,92.30828618998174,14.522963821518497,18.786756608982422,1.5720808901824057
54,118,87,36,256,4,7149824,583832,12.246372244070212,86,91.83431648107701,15.66389664094495,16.474231630797533,1.5611664578318596
55,118,87,39,256,4,7149824,625752,11.425970672087345,85,91.24800834258298,20.56474482416341,9.370499866013446,1.5659610703587532
56,118,87,41,256,4,7149824,640248,11.167272681835788,84,91.04526209316481,20.97444693091681,8.938767750242645,1.5605123485438528
57,119,92,18,256,4,7149824,329784,21.680324090920116,93,95.3875228257367,18.952649605658316,11.281517455869935,1.574786726851016
58,119,92,21,256,4,7149824,376728,18.978743284279375,92,94.73094722331626,19.668855317675337,10.388605011110094,1.5688145942986012
59,119,92,24,256,4,7149824,430424,16.611118339126072,91,93.97993572988649,21.183426277671987,8.726270798259124,1.7610456328839061
