,record,m,n,d,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
21,101,103,256,4,159,2539,649984,7149824,1884280,10296,7.20519124951724,2.898963666797952,0.005464156070223109,3.794459422166557,73.64578484729135,25.81584930419922,5.119263172149658,0.0026206853799521923,1.5779411778785284,38.278065,1.2192612,0.00014865979,33.3989372253418,44.96293640136719,3,4,3,8
22,101,116,256,4,159,2539,649984,7149824,2081560,10296,7.067539487444147,3.202478830248129,0.004946290282288284,3.434839255174004,70.88655608865336,27.49544906616211,4.219175338745117,0.001780143822543323,1.5582732979673892,37.290405,1.3660914,0.00018662059,33.38650131225586,45.24871063232422,2,4,3,6
23,101,128,256,4,159,2539,649984,7149824,2309784,10296,7.1072026388341865,3.5536013194170932,0.004457559667917,3.0954513495634224,67.6945334598446,26.92395782470703,4.506113052368164,0.002030505333095789,1.5603503820020705,36.66653,1.4678218,0.00021545008,33.40876770019531,45.544471740722656,2,4,3,7
24,101,141,256,4,159,2539,649984,7149824,2530520,10296,7.068511364556884,3.8932035250098465,0.0040687289568942355,2.825436669143101,64.60724068172867,28.360244750976562,3.819334030151367,0.0014587313635274768,1.5745441510807723,36.18863,1.5508454,0.00024051215,32.8647575378418,46.90628433227539,2,4,3,8
25,101,154,256,4,159,2539,649984,7149824,2823928,10296,7.222211423865619,4.344611559669161,0.0036459853084072967,2.531871917414325,60.5035312757349,29.544795989990234,3.332423448562622,0.0011105046141892672,1.6658365239854902,36.4472,1.505358,0.00022661025,33.29188537597656,46.98016357421875,2,4,3,6
26,101,167,256,4,159,2539,649984,7149824,3100184,10296,7.311530542695625,4.769631252461599,0.0033210931996294412,2.3062579511409647,56.639715886712736,30.24272918701172,3.0751302242279053,0.000945642648730427,1.576155275804922,37.91267,1.2716463,0.00016170843,33.226097106933594,46.58341598510742,2,4,3,8
27,101,180,256,4,159,2539,649984,7149824,3436504,10296,7.519373331582863,5.287059373769201,0.002996068097112647,2.0805516303778493,51.93582387482545,30.535436630249023,2.973227024078369,0.0008840079535730183,1.5741539150476453,37.62478,1.3145015,0.0001727914,32.29882049560547,46.82869338989258,2,4,3,8
28,101,192,256,4,159,2539,649984,7149824,3676536,10296,7.541797951949587,5.65634846396219,0.002800462174176997,1.9447175275857491,48.57865032761646,31.498571395874023,2.6611626148223877,0.0007081786752678454,1.5486161629669373,39.197186,1.0968332,0.000120304314,33.31568145751953,46.99890899658203,2,3,4,7
29,101,205,256,4,159,2539,649984,7149824,3927672,10296,7.5460321424797545,6.042721051595116,0.002621400157650639,1.8203719658871718,45.06617225822622,31.73915672302246,2.5884640216827393,0.0006700145895592868,1.5758662598673254,37.849068,1.2809922,0.00016409408,33.650333404541016,45.945655822753906,2,3,3,7
30,102,26,256,4,159,2539,649984,7149824,427544,10296,6.476565576998818,0.6577761914139425,0.024081731938701046,16.723013303893868,94.02021644169143,12.562947273254395,23.54250144958496,0.05542493611574173,1.5841273358091708,39.123028,1.1062378,0.00012237621,33.548587799072266,46.04477310180664,4,5,2,3
