,record,m,n,d,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pms,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
475,203,154,256,4,40,2539,649984,7149824,3126264,2680,7.995437410167619,4.809755317053958,0.0008572532582021224,2.28701862670587,40,56.274951663145835,27.875577334472702,4.038509727303951,0.0016309560817528632,1.7664620117284353,35.86846813493328,1.6090761335289538,0.0002589126003492487,28.205969665492777,45.35920629759909,2,4,4,8
476,203,141,256,4,40,2539,649984,7149824,2853176,2680,7.969787625105098,4.3896095903899175,0.0009393041298538891,2.5059176160180794,45,60.09445826918257,27.415920962853576,4.257983281116422,0.0018130421622266967,1.588708634022623,35.327822326855646,1.712414448969261,0.0002932363245038698,27.707665332427506,45.87866462480435,2,4,4,8
477,203,128,256,4,40,2539,649984,7149824,2592056,2680,7.975753249310753,3.9878766246553763,0.0010339282793272984,2.758360158885456,50,63.74657613949658,26.74367252463234,4.600620113221546,0.0021165705426178633,1.5839483663439755,36.024666993776,1.5803986510277621,0.00024976598961703707,33.29273973735455,41.97912293983266,2,4,4,8
478,203,116,256,4,40,2539,649984,7149824,2351960,2680,7.985631052138365,3.618489070500197,0.0011394751611421962,3.0399428561710233,55,67.10464481363458,26.406521800592238,4.7827084778438405,0.0022874300384039346,1.5930997878313065,36.35181915931909,1.5219803382847923,0.0002316424150125491,32.660450184205466,43.63753336629374,2,4,4,8
479,203,103,256,4,40,2539,649984,7149824,2091096,2680,7.996023203080488,3.217149960614415,0.0012816245643432918,3.4191753989295566,60,70.75318217623258,25.21924599798461,5.4832456164352905,0.0030065982490156836,1.5945022068917751,36.54267149182763,1.4889030700340928,0.0002216832351956947,29.784501686622384,44.818549655249555,2,5,4,8
480,203,90,256,4,40,2539,649984,7149824,1846968,2680,8.082657214126296,2.841559176841276,0.0014510267638638027,3.8711141719834887,65,74.16764384689749,24.25721866929424,6.125465053909712,0.0037521322126669115,1.5870207371190193,37.458155441715554,1.339961214888257,0.00017954960574048133,31.277338089204154,46.13048591328628,3,5,4,8
481,203,77,256,4,40,2539,649984,7149824,1581112,2680,8.08740530835844,2.432539877904687,0.001695009588188566,4.522022475321166,70,77.88600110995739,21.145338495274455,8.764619671571888,0.0076818557987304885,1.5941758579574525,36.55822985468275,1.4862385001600225,0.00022089048793579136,30.041517908330505,46.28120269524095,3,5,4,8
482,203,64,256,4,40,2539,649984,7149824,1288248,2680,7.927875147695944,1.981968786923986,0.0020803447783346064,5.550036949407257,75,81.98210193705468,21.074361963078847,8.83653296297294,0.007808431480570736,1.5973974550142889,38.5469540226722,1.1820947781643416,0.00013973480645634037,33.63573916732262,45.97234592114568,3,5,3,8
483,203,52,256,4,40,2539,649984,7149824,1055320,2680,7.993152967552337,1.6236091965340684,0.0025395140810370313,6.77502937497631,80,85.23991639514483,19.28956724479767,10.852296174465653,0.011777233225832184,1.5837085722014306,37.93772132783047,1.267984467591963,0.0001607784610054474,33.5879598390969,45.24416605258799,3,6,3,7
484,203,39,256,4,40,2539,649984,7149824,795864,2680,8.037325415820886,1.2244362938164632,0.003367409507151976,8.983725862710212,85,88.86876096530489,17.32531399495167,13.606120104153192,0.018512650428864165,1.612552772741765,39.427078622869296,1.0681840008321528,0.00011410170596337845,33.73153632147059,45.50324483576134,3,6,3,8
485,203,26,256,4,40,2539,649984,7149824,528344,2680,8.003514406035084,0.8128569318629382,0.005072452795905698,13.532516693669276,90,92.61039152851875,14.171526623913824,19.56246909573679,0.038269019712165696,1.5710245152004063,37.40731665156975,1.347827047810587,0.00018166377508098023,34.29299495270566,46.085084447907555,4,6,3,7
486,205,244,256,4,40,2539,649984,7149824,4529240,2680,7.3109330509623645,6.968233064198503,0.0005917107505895028,1.5785924349338962,5,36.652426689104516,34.83924567548059,1.8114974049541135,0.00032815228481554876,1.5761337070725854,36.65188028974267,1.470300095743629,0.00021617823715437248,33.75888045397427,44.2736490451403,2,2,3,5
487,205,231,256,4,40,2539,649984,7149824,4299512,2680,7.330683757623498,6.614796671918078,0.0006233265542694148,1.6629384916241656,10,39.865484800744746,35.06371181458392,1.7652832860598198,0.00031162250800421547,1.747694059740752,36.99326701088904,1.4136329173932203,0.00019983580251376674,33.68967788087117,44.36720183053241,2,2,3,5
488,205,218,256,4,40,2539,649984,7149824,4131832,2680,7.464890822436053,6.356821090980701,0.0006486226932750412,1.7304246639263166,15,42.2107173547209,34.099948535818164,1.9724344228190704,0.0003890497552321599,1.5705769960768516,36.82166231688888,1.4418393840161388,0.00020789008093000385,33.93225678887409,42.55921610903633,2,2,3,5
489,205,205,256,4,40,2539,649984,7149824,3865016,2680,7.425654425114554,5.946324832611264,0.0006933994581134981,1.8498821220921207,20,45.942501521715776,34.08792502668346,1.975166670879371,0.0003901283377752697,1.5872066281735893,36.981202381632784,1.415597806178066,0.0002003917148856154,33.78186178295644,43.717688567567535,2,2,3,5
490,205,192,256,4,40,2539,649984,7149824,3604312,2680,7.393642510174609,5.545231882630957,0.0007435538321876686,1.9836862069654346,25,49.5888010669913,34.61635000698822,1.85858530754483,0.000345433934542151,1.6020689168944957,39.648238829233776,1.0413292285050704,0.00010843665621389648,34.99656386121519,46.31124236814619,2,3,4,5
491,205,180,256,4,40,2539,649984,7149824,3317240,2680,7.258413198547109,5.103571780228436,0.00080790054382559,2.155353245469125,30,53.60389290701421,33.04154040523147,2.228039980906869,0.0004964162156519482,1.5829497859813273,37.94777782355333,1.2665172486953222,0.00016040659412427688,33.78491728899359,45.81168819277261,2,3,3,5
492,205,167,256,4,40,2539,649984,7149824,2993560,2680,7.0600665545631855,4.605590291453328,0.0008952551477170994,2.388401769131068,35,58.13099735042429,33.19957165504213,2.1878695161525425,0.000478677301970956,1.5918403342366219,35.67294936541376,1.6457070580476012,0.0002708351720907691,33.272375687076334,45.108081124947844,2,3,3,5
493,205,154,256,4,40,2539,649984,7149824,2715512,2680,6.944936906339033,4.177813607719575,0.0009869225398377911,2.6329561423407446,40,62.01987629345841,31.64731062377031,2.6159802979601965,0.0006843352919315919,1.5801283428445458,36.79482056172978,1.4463019505524388,0.00020917893321717893,33.39304443691349,44.77246054912131,2,3,3,5
494,205,141,256,4,40,2539,649984,7149824,2411608,2680,6.736354012162045,3.7102574832611266,0.0011112917190521843,2.9647538074181212,45,66.27038651580794,30.920247136092573,2.844380176301847,0.0008090498587338929,1.5794485518708825,36.59169672087347,1.4805230183806997,0.00021919484079550974,33.39294320629666,40.73181368992277,2,3,3,5
495,205,128,256,4,40,2539,649984,7149824,2232152,2680,6.868329066561638,3.434164533280819,0.0012006350821987034,3.2031080320695007,50,68.78032242471983,30.561860503184874,2.964196395557411,0.0008786460271435549,1.5888871201314037,36.60266211644825,1.4786551294246184,0.00021864209917737347,33.34701559540913,41.04104466154475,3,3,3,5
